"","Date","EntryTime","ExitTime","Direction","EntryPrice","ExecEntryPrice","ExitPrice","ExecExitPrice","StopPrice","R","Shares","NotionalPosition","MarginUsed","GrossPnL","Commission","NetPnL","ExitReason","CapitalBefore","CapitalAfter","R_Multiple"
"22",18577,2020-11-11 14:35:00,2020-11-11 20:55:00,"Long",286.5,286.512726862555,289.839996,289.828802204636,285.529998,0.970002000000022,941,269596.5,26959.65,3120.42689689825,1.882,3118.54489689825,"Timed",91295.9345302207,94414.479427119,3.41656547314434
"23",18578,2020-11-12 14:35:00,2020-11-12 16:40:00,"Long",290.820007,290.831061214416,289.829986,289.812256992232,289.829986,0.990020999999956,953,277151.466671,27715.1466671,-970.920423741435,1.906,-972.826423741435,"SL",94414.479427119,93441.6530033775,-1.03109350426317
"24",18579,2020-11-13 14:35:00,2020-11-13 14:35:00,"Short",289.929992,289.901170563799,290.48999,290.499070976611,290.48999,0.55999799999995,1668,483603.226656,48360.3226656,-997.297888569673,3.336,-1000.63388856967,"SL",93441.6530033775,92441.0191148078,-1.07125456307274
"25",18582,2020-11-16 14:35:00,2020-11-16 14:35:00,"Short",290.350006,290.320894760226,290.920013,290.927458233141,290.920013,0.570006999999976,1621,470657.359726,47065.7359726,-983.239389595145,3.242,-986.481389595144,"SL",92441.0191148078,91454.5377252127,-1.06764210424606
"26",18583,2020-11-17 14:35:00,2020-11-17 14:35:00,"Long",293.5,293.52883659377,293.140014,293.127021438035,293.140014,0.359985999999992,2540,745490,74549,-1020.61049556703,5.08,-1025.69049556703,"SL",91454.5377252127,90428.8472296457,-1.12175238963476
"27",18584,2020-11-18 14:35:00,2020-11-18 14:35:00,"Short",292.109985,292.100625910218,291.940002,291.950846685297,291.940002,0.169983000000002,3095,904080.403575,90408.0403575,463.566701129147,6.19,457.376701129147,"SL",90428.8472296457,90886.2239307748,0.869376496005852
"28",18585,2020-11-19 14:35:00,2020-11-19 14:40:00,"Short",288.98999,288.972272707184,289.890014,289.907603528564,289.890014,0.90002400000003,1009,291590.89991,29159.089991,-943.748798773201,2.018,-945.766798773201,"SL",90886.2239307748,89940.4571320016,-1.04145091839856
"29",18586,2020-11-20 14:35:00,2020-11-20 15:20:00,"Short",292.109985,292.099466313889,292.309997,292.330830996068,292.309997,0.200012000000015,3078,899114.53383,89911.453383,-712.140491746061,6.156,-718.296491746061,"SL",89940.4571320016,89222.1606402555,-1.16675340568911
"30",18589,2020-11-23 14:35:00,2020-11-23 15:05:00,"Long",291.839996,291.863610179151,291.410003,291.380595487686,291.410003,0.429992999999968,2074,605276.151704,60527.6151704,-1001.77247009918,4.148,-1005.92047009918,"SL",89222.1606402555,88216.2401701564,-1.12795950507429
"31",18590,2020-11-24 14:35:00,2020-11-24 15:40:00,"Short",291.109985,291.087704234326,291.640014,291.663825840995,291.640014,0.530029000000013,1664,484407.01504,48440.701504,-958.666353496374,3.328,-961.994353496374,"SL",88216.2401701564,87254.24581666,-1.09073580250982
"32",18591,2020-11-25 14:35:00,2020-11-25 15:00:00,"Long",295.649993,295.661195372188,295.130004,295.109956501331,295.130004,0.51998900000001,1678,496100.688254,49610.0688254,-924.978825296792,3.356,-928.334825296792,"SL",87254.24581666,86325.9109913632,-1.06394341198803
"33",18593,2020-11-27 14:35:00,2020-11-27 18:00:00,"Long",298.75,298.76575061587,297.899993,297.87587154819,297.899993,0.850007000000005,1015,303231.25,30323.125,-903.227253694507,2.03,-905.257253694507,"SL",86325.9109913632,85420.6537376687,-1.04926085041572
"34",18596,2020-11-30 14:35:00,2020-11-30 20:55:00,"Short",299.519989,299.499459207459,299.380004,299.416612027458,299.970001,0.450012000000015,1898,568488.939122,56848.8939122,157.243947642242,3.796,153.447947642242,"Timed",85420.6537376687,85574.1016853109,0.179655609186374
"35",18597,2020-12-01 14:35:00,2020-12-01 14:45:00,"Short",301.109985,301.100107830392,302.059997,302.078298579915,302.059997,0.950012000000015,900,270998.9865,27099.89865,-880.371674571091,1.8,-882.171674571091,"SL",85574.1016853109,84691.9300107398,-1.03176670349787
"36",18598,2020-12-02 14:35:00,2020-12-02 15:10:00,"Short",301.380004,301.362278373486,302.359985,302.374931397484,302.359985,0.979981000000009,864,260392.323456,26039.2323456,-874.932212734013,1.728,-876.660212734013,"SL",84691.9300107398,83815.2697980058,-1.03538030226881
"37",18599,2020-12-03 14:35:00,2020-12-03 16:05:00,"Long",304.679992,304.699155234671,304.059997,304.046058992362,304.059997,0.619995000000017,1351,411622.669192,41162.2669192,-882.333023359619,2.702,-885.035023359619,"SL",83815.2697980058,82930.2347746462,-1.05661536352567
"38",18600,2020-12-04 14:35:00,2020-12-04 14:40:00,"Short",303.75,303.733044460639,304.450012,304.484727165492,304.450012,0.700012000000015,1184,359640,35964,-889.992322545695,2.368,-892.360322545695,"SL",82930.2347746462,82037.8744521005,-1.07667112114188
"39",18603,2020-12-07 14:35:00,2020-12-07 20:55:00,"Long",306.25,306.285480829894,307.269989,307.241614887559,305.519989,0.73001099999999,1123,343918.75,34391.875,1073.73854675754,2.246,1071.49254675754,"Timed",82037.8744521005,83109.366998858,1.30701326098481
"40",18604,2020-12-08 14:35:00,2020-12-08 17:00:00,"Short",306.790008,306.780731989797,307.029998,307.065042590413,307.029998,0.239989999999977,2708,830787.341664,83078.7341664,-769.913106465615,5.416,-775.329106465615,"SL",83109.366998858,82334.0378923924,-1.19301054466894
"41",18605,2020-12-09 14:35:00,2020-12-09 14:45:00,"Short",307.209991,307.195758320331,308.130004,308.142458032379,308.130004,0.920012999999983,894,274645.731954,27464.5731954,-846.349542571295,1.788,-848.137542571295,"SL",82334.0378923924,81485.9003498212,-1.0311807681505
"42",18606,2020-12-10 14:35:00,2020-12-10 14:35:00,"Short",298.260009,298.248680448981,299.73001,299.763179796959,299.73001,1.47000099999997,554,165236.044986,16523.6044986,-839.032638779884,1.108,-840.140638779884,"SL",81485.9003498212,80645.7597110413,-1.03163150771881
"43",18607,2020-12-11 14:35:00,2020-12-11 15:10:00,"Short",300.48999,300.467533706828,301.399993,301.429157558769,301.399993,0.910003000000017,886,266234.13114,26623.413114,-851.998732819675,1.772,-853.770732819675,"SL",80645.7597110413,79791.9889782216,-1.05892381886755
"44",18610,2020-12-14 14:35:00,2020-12-14 20:55:00,"Long",303.410003,303.426090982385,303.839996,303.826020947393,303.010009,0.399993999999992,1994,604999.545982,60499.9545982,797.460350224987,3.988,793.472350224987,"Timed",79791.9889782216,80585.4613284466,0.994839835116335
"45",18611,2020-12-15 14:35:00,2020-12-15 20:00:00,"Short",306.350006,306.334053462214,306.829986,306.853556411376,306.829986,0.479980000000012,1678,514055.310068,51405.5310068,-871.725948693579,3.356,-875.081948693579,"SL",80585.4613284466,79710.379379753,-1.08650974866002
"46",18612,2020-12-16 14:35:00,2020-12-16 15:30:00,"Short",307.160003,307.141912429759,307.894989,307.913835067802,307.894989,0.734985999999992,1084,332961.443252,33296.1443252,-836.764139638313,2.168,-838.932139638313,"SL",79710.379379753,78871.4472401147,-1.05297602681239
"47",18613,2020-12-17 14:35:00,2020-12-17 14:55:00,"Long",311,311.02098875283,310.519989,310.489948802126,310.519989,0.48001099999999,1643,510973,51097.3,-872.49863900646,3.286,-875.78463900646,"SL",78871.4472401147,77995.6626011082,-1.11047444892697
"48",18614,2020-12-18 14:35:00,2020-12-18 20:55:00,"Short",311.140014,311.128436715109,309.850006,309.889848973657,311.98001,0.839995999999985,928,288737.932992,28873.7932992,1149.40942406779,1.856,1147.55342406779,"Timed",77995.6626011082,79143.216025176,1.47213527380176
"49",18617,2020-12-21 14:35:00,2020-12-21 14:45:00,"Long",307.559997,307.580899429574,306.720001,306.700481280204,306.720001,0.839995999999985,942,289721.517174,28972.1517174,-829.3538967063,1.884,-831.2378967063,"SL",79143.216025176,78311.9781284697,-1.05050279926305
"50",18618,2020-12-22 14:35:00,2020-12-22 14:45:00,"Short",309.075012,309.04678950821,309.899993,309.910432379173,309.899993,0.82498099999998,949,293312.186388,29331.2186388,-819.597084543312,1.898,-821.495084543312,"SL",78311.9781284697,77490.4830439264,-1.04928825144145
"51",18619,2020-12-23 14:35:00,2020-12-23 18:05:00,"Short",309.220001,309.205843698564,309.870086,309.886937003143,309.870086,0.65008499999999,1192,368590.241192,36859.0241192,-811.863219057635,2.384,-814.247219057635,"SL",77490.4830439264,76676.2358248688,-1.05077536718823
"52",18624,2020-12-28 14:35:00,2020-12-28 16:00:00,"Short",311.779998,311.762435017683,312.339996,312.369062831545,312.339996,0.559998000000007,1369,426826.817262,42682.6817262,-830.473477176637,2.738,-833.211477176637,"SL",76676.2358248688,75843.0243476921,-1.08683926346464
